sample_1	sample_2	ANI	MASH	dDDH	population
SRR2584410	SRR2584438	99.8364	0.0539403	0.9967969250480462	Ara+1
SRR2584410	SRR2584462	99.7371	0.0539403	0.9993434011818779	Ara+1
SRR2584410	SRR2584463	99.633	0.0558655	0.998868778280543	Ara+1
SRR2584410	SRR2584464	99.579	0.0782587	0.9978165938864629	Ara+1
SRR2584410	SRR2584466	99.8364	0.0563082	0.9981606376456161	Ara+1
SRR2584410	SRR2584467	99.8364	0.0615839	0.9968437664387164	Ara+1
SRR2584410	SRR2584470	99.7873	0.0690061	0.9905869324473976	Ara+1
SRR2584410	SRR2584490	99.812	0.0696435	0.9965217391304347	Ara+1
SRR2584410	SRR2584518	99.7873	0.0590885	0.9989401165871754	Ara+1
SRR2584410	SRR2584508	99.1942	0.0799006	0.9907353792704111	Ara+1
SRR2584410	SRR2584519	99.7873	0.0755413	0.9927007299270073	Ara+1
SRR2584410	SRR2584520	99.812	0.0543589	0.9982896237172177	Ara+1
SRR2584410	SRR2584521	99.8364	0.0656822	0.9991039426523297	Ara+1
SRR2584410	SRR2584522	99.7873	0.0531179	0.997195737521032	Ara+1
SRR2584410	SRR2086043	99.4957	0.0567566	0.9983452840595698	Ara+1
SRR2584410	SRR2086070	99.7371	0.0794837	0.998262883613202	Ara+1
SRR2584410	SRR2584524	99.5238	0.243761	0.9989159891598915	Ara+1
SRR2584410	SRR2584534	99.5631	1	0.9884076990376203	Ara+1
SRR2584410	SRR22764941	99.8128	0.295981	0.9732704402515723	Ara+1
SRR2584411	SRR2584438	99.8685	0.0265635	0.9958022388059702	Ara+1
SRR2584411	SRR2584462	97.3936	0.0245258	0.9961694456962595	Ara+1
SRR2584411	SRR2584463	97.3911	0.0231524	0.9960891669925694	Ara+1
SRR2584411	SRR2584464	98.8711	0.0324062	0.9977272727272727	Ara+1
SRR2584411	SRR2584466	99.7619	0.0181313	0.9974262522272818	Ara+1
SRR2584411	SRR2584467	99.8597	0.0230043	0.997127893225207	Ara+1
SRR2584411	SRR2584470	98.0693	0.0239829	0.9942343564524334	Ara+1
SRR2584411	SRR2584490	99.7895	0.028588	0.9973914663685486	Ara+1
SRR2584411	SRR2584518	99.742	0.0260597	0.9969719909159728	Ara+1
SRR2584411	SRR2584508	98.015	0.0376857	0.9951969260326609	Ara+1
SRR2584411	SRR2584519	99.8031	0.04288	0.9956005279366476	Ara+1
SRR2584411	SRR2584520	99.8597	0.0210864	0.9967307692307692	Ara+1
SRR2584411	SRR2584521	99.8413	0.0208822	0.9963837076513132	Ara+1
SRR2584411	SRR2584522	99.8952	0.0233014	0.9979231568016614	Ara+1
SRR2584411	SRR2086043	99.5856	0.0230782	0.9974708171206226	Ara+1
SRR2584411	SRR2086070	99.6123	0.0394988	0.9973449649156079	Ara+1
SRR2584411	SRR2584524	99.5037	0.182269	0.9965986394557823	Ara+1
SRR2584411	SRR2584534	99.8626	1	0.9923193627915797	Ara+1
SRR2584411	SRR22764941	99.8148	0.210897	0.9913429522752497	Ara+1
SRR2584438	SRR2584462	99.6123	0.0184965	0.9948572441922326	Ara+1
SRR2584438	SRR2584463	99.6386	0.0206797	0.9962257677131583	Ara+1
SRR2584438	SRR2584464	99.5856	0.0238299	0.9925879198864532	Ara+1
SRR2584438	SRR2584466	99.5856	0.0211548	0.9955845651756575	Ara+1
SRR2584438	SRR2584467	99.5856	0.0162749	0.995414118954975	Ara+1
SRR2584438	SRR2584470	99.1761	0.0201478	0.9951491988828458	Ara+1
SRR2584438	SRR2584490	99.5856	0.0227838	0.9965584318419871	Ara+1
SRR2584438	SRR2584518	99.5856	0.0196275	0.9943410275502607	Ara+1
SRR2584438	SRR2584508	99.6386	0.0276889	0.9953080066596035	Ara+1
SRR2584438	SRR2584519	99.5856	0.0321972	0.9949404276154725	Ara+1
